Name,Category,DietType,Tags,PrepNote
"Santula","Lunch","veg","","Mixed Veg"
"Dahi Lau","Lunch","veg","","Check Curd"
"Vangi Bhaat","Lunch","veg","","Brinjal"
"Biryani","Lunch","veg","",""
"Dal","Lunch","veg","","With some bhaja"
"Paneer Butter Masala & Roti","Dinner","veg","Festive Dish","Soak paneer in warm water"
"Pasta","Dinner","veg","",""
"Pizza","Dinner","veg","",""
"Egg curry","Dinner","egg","",""
"Pad Thai","Dinner","veg","",""
"Fried Rice","Dinner","veg","Leftover Rice",""
"Soupy Noodles","Dinner","veg","","aka Ramen, Thukpa"
"Pav Bhaji","Dinner","veg","","Boil Aloo, Gobi. Check Pav"
"Egg Omlet","Breakfast","egg","","Check Bread and Eggs"
"Upma","Breakfast","veg","",""
"Oatmeal with Berries","Breakfast","veg","Quick","Thaw frozen berries"
"Avocado Toast","Breakfast","veg","Quick",""
